01:00:33,e7f26bbceb59,pygrid_alice_1,100.37, 898.6MiB,4.851GiB,18.09,0B,0B, 1.61MB,5.28GB, 6
01:00:36,e7f26bbceb59,pygrid_alice_1,81.28,564.2MiB,4.851GiB,11.36,0B,0B, 1.61MB,5.84GB, 6
01:00:39,e7f26bbceb59,pygrid_alice_1,73.65,560.2MiB,4.851GiB,11.28,0B,0B, 1.61MB,6.65GB, 6
01:00:42,e7f26bbceb59,pygrid_alice_1,58.95,604.2MiB,4.851GiB,12.16,0B,0B, 1.61MB,7.4GB,6
01:00:45,e7f26bbceb59,pygrid_alice_1,58.48,661.7MiB,4.851GiB,13.32,0B,0B, 1.61MB,8.06GB, 6
01:00:48,e7f26bbceb59,pygrid_alice_1,60.92,692MiB,4.851GiB, 13.93,0B,0B, 1.61MB,8.67GB, 6
01:00:51,e7f26bbceb59,pygrid_alice_1,71.18,661.7MiB,4.851GiB,13.32,0B,0B, 1.61MB,9.13GB, 6
01:00:54,e7f26bbceb59,pygrid_alice_1,70.15,683.7MiB,4.851GiB,13.77,0B,0B, 1.61MB,9.57GB, 6
01:00:57,e7f26bbceb59,pygrid_alice_1,62.05,639.8MiB,4.851GiB,12.88,0B,0B, 1.61MB,10.2GB, 6
01:01:00,e7f26bbceb59,pygrid_alice_1,53.71,672.3MiB,4.851GiB,13.54,0B,0B, 1.61MB,10.7GB, 6
01:01:03,e7f26bbceb59,pygrid_alice_1,68.65,683.9MiB,4.851GiB,13.77,0B,0B, 1.61MB,11.2GB, 6
01:01:06,e7f26bbceb59,pygrid_alice_1,69.39,683.8MiB,4.851GiB,13.77,0B,0B, 1.61MB,11.6GB, 6
01:01:09,e7f26bbceb59,pygrid_alice_1,49.99,683.8MiB,4.851GiB,13.77,0B,0B, 1.61MB,12.2GB, 6
01:01:12,e7f26bbceb59,pygrid_alice_1,60.97,706MiB,4.851GiB, 14.21,0B,0B, 1.61MB,12.7GB, 6
01:01:15,e7f26bbceb59,pygrid_alice_1,81.02,750.1MiB,4.851GiB,15.10,0B,0B, 1.61MB,13.2GB, 6
01:01:18,e7f26bbceb59,pygrid_alice_1,71.75,793.9MiB,4.851GiB,15.98,0B,0B, 1.61MB,13.8GB, 6
01:01:21,e7f26bbceb59,pygrid_alice_1,50.40,846.1MiB,4.851GiB,17.03,0B,0B, 1.61MB,14.3GB, 6
01:01:24,e7f26bbceb59,pygrid_alice_1,55.04,816.2MiB,4.851GiB,16.43,0B,0B, 1.61MB,14.9GB, 6
01:01:27,e7f26bbceb59,pygrid_alice_1,71.72,793MiB,4.851GiB, 15.97,0B,0B, 1.61MB,15.3GB, 6
01:01:30,e7f26bbceb59,pygrid_alice_1,74.38,823.3MiB,4.851GiB,16.58,0B,0B, 1.61MB,15.8GB, 6
01:01:33,e7f26bbceb59,pygrid_alice_1,54.31,823.3MiB,4.851GiB,16.58,0B,0B, 1.61MB,16.4GB, 6
01:01:36,e7f26bbceb59,pygrid_alice_1,53.80,823.5MiB,4.851GiB,16.58,0B,0B, 1.61MB,17GB,6
01:01:39,e7f26bbceb59,pygrid_alice_1,73.11,823.4MiB,4.851GiB,16.58,0B,0B, 1.61MB,17.5GB, 6
01:01:42,e7f26bbceb59,pygrid_alice_1,78.38,819.9MiB,4.851GiB,16.51,0B,0B, 1.61MB,18GB,6
01:01:45,e7f26bbceb59,pygrid_alice_1,63.27,793.1MiB,4.851GiB,15.97,0B,0B, 1.61MB,18.5GB, 6
01:01:48,e7f26bbceb59,pygrid_alice_1,52.18,793.2MiB,4.851GiB,15.97,0B,0B, 1.61MB,19.1GB, 6
01:01:51,e7f26bbceb59,pygrid_alice_1,55.43,793.2MiB,4.851GiB,15.97,0B,0B, 1.61MB,19.7GB, 6
01:01:55,e7f26bbceb59,pygrid_alice_1,69.03,793.2MiB,4.851GiB,15.97,0B,0B, 1.61MB,20.2GB, 6
01:01:58,e7f26bbceb59,pygrid_alice_1,79.24,793.3MiB,4.851GiB,15.97,0B,0B, 1.61MB,20.8GB, 6
01:02:01,e7f26bbceb59,pygrid_alice_1,69.87,823.6MiB,4.851GiB,16.58,0B,0B, 1.61MB,21.3GB, 6
01:02:04,e7f26bbceb59,pygrid_alice_1,50.09,823.6MiB,4.851GiB,16.58,0B,0B, 1.61MB,21.9GB, 6
01:02:07,e7f26bbceb59,pygrid_alice_1,63.98,823.7MiB,4.851GiB,16.58,0B,0B, 1.61MB,22.4GB, 6
