20:50:04,CONTAINERID,NAME,CPU,MEMUSAGE,LIMIT,MEM,NETI/O,BLOCKI/O,PIDS
20:50:22,CONTAINERID,NAME,CPU,MEMUSAGE,LIMIT,MEM,NETI/O,BLOCKI/O,PIDS
20:50:22,475f715a2366,gridexperiment_james_1,0.12,94.79MiB,8.301GiB,1.12,3.96kB,819B,0B,0B,3
20:50:22,71105f46cf57,gridexperiment_bob_1,82.18,934.6MiB,8.301GiB,10.99,9.78MB,3.45MB,8.22MB,0B,5
20:50:22,38ced2022e89,gridexperiment_alice_1,0.02,279.6MiB,8.301GiB,3.29,8.02MB,3.44MB,7.7MB,0B,5
20:50:22,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.71MiB,8.301GiB,1.11,3.96kB,860B,0B,0B,3
20:50:22,e6c50557e217,gridexperiment_gateway_1,0.02,127.3MiB,8.301GiB,1.50,6.81kB,2.65kB,0B,0B,3
20:50:22,90b723c5e2ad,gridexperiment_redis_1,0.08,2.246MiB,8.301GiB,0.03,3.56kB,0B,0B,0B,4
20:50:26,CONTAINERID,NAME,CPU,MEMUSAGE,LIMIT,MEM,NETI/O,BLOCKI/O,PIDS
20:50:26,475f715a2366,gridexperiment_james_1,0.02,94.79MiB,8.301GiB,1.12,4.03kB,819B,0B,0B,3
20:50:26,71105f46cf57,gridexperiment_bob_1,0.02,330.1MiB,8.301GiB,3.88,9.79MB,6.85MB,8.71MB,0B,5
20:50:26,38ced2022e89,gridexperiment_alice_1,89.76,1.147GiB,8.301GiB,13.81,11.4MB,3.45MB,9.22MB,0B,5
20:50:26,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.71MiB,8.301GiB,1.11,3.96kB,860B,0B,0B,3
20:50:26,e6c50557e217,gridexperiment_gateway_1,0.02,127.3MiB,8.301GiB,1.50,6.88kB,2.65kB,0B,0B,3
20:50:26,90b723c5e2ad,gridexperiment_redis_1,0.09,2.246MiB,8.301GiB,0.03,3.56kB,0B,0B,0B,4
20:50:29,CONTAINERID,NAME,CPU,MEMUSAGE,LIMIT,MEM,NETI/O,BLOCKI/O,PIDS
20:50:29,475f715a2366,gridexperiment_james_1,0.02,94.79MiB,8.301GiB,1.12,4.23kB,819B,0B,0B,3
20:50:29,71105f46cf57,gridexperiment_bob_1,91.66,909.6MiB,8.301GiB,10.70,13.2MB,6.86MB,8.71MB,0B,5
20:50:29,38ced2022e89,gridexperiment_alice_1,0.02,329.4MiB,8.301GiB,3.88,11.4MB,6.86MB,9.22MB,0B,5
20:50:29,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.71MiB,8.301GiB,1.11,4.03kB,860B,0B,0B,3
20:50:29,e6c50557e217,gridexperiment_gateway_1,0.02,127.3MiB,8.301GiB,1.50,7.08kB,2.65kB,0B,0B,3
20:50:29,90b723c5e2ad,gridexperiment_redis_1,0.09,2.246MiB,8.301GiB,0.03,3.76kB,0B,0B,0B,4
